"source"	"mor"	"target"	"likelihood"
"77"	"Bub1"	1	"Bub1_S511"	1
"78"	"Bub1"	1	"Bub1_T148"	1
"79"	"Bub1"	1	"Bub1_T174"	1
"80"	"Bub1"	1	"Bub1_S176"	1
"81"	"Bub1"	1	"Bub1_S198"	1
"82"	"Bub1"	1	"Mdm4_S161"	1
"83"	"Bub1"	1	"Ncl_S28"	1
"84"	"Bub1"	1	"Ncl_S34"	1
"85"	"Bub1"	1	"Ncl_S145"	1
"86"	"Bub1"	1	"Ncl_T499"	1
"87"	"Bub1"	1	"Lig1_S49"	1
"88"	"Bub1"	1	"Lig1_T197"	1
"89"	"Bub1"	1	"Paxbp1_S160"	1
"90"	"Bub1"	1	"Paxbp1_S16"	1
"91"	"Bub1"	1	"Paxbp1_S193"	1
"92"	"Bub1"	1	"Smarca4_S657"	1
"93"	"Bub1"	1	"Smarca4_S662"	1
"94"	"Bub1"	1	"Smarca4_S699"	1
"95"	"Bub1"	1	"Smarca4_S1586"	1
"96"	"Bub1"	1	"Xrcc1_S410"	1
"97"	"Bub1"	1	"Ppp1r8_S204"	1
"98"	"Bub1"	1	"Ppp1r8_T161"	1
"99"	"Bub1"	1	"Nup35_S15"	1
"100"	"Bub1"	1	"Cdc20_S92"	1
"101"	"Bub1"	1	"Cdc20_S72"	1
"102"	"Bub1"	1	"Cdc20_T157"	1
"103"	"Bub1"	1	"Cdc20_S153"	1
"104"	"Bub1"	1	"Cdc20_S161"	1
"105"	"Bub1"	1	"Cdc20_S41"	1
"106"	"Bub1"	1	"Phax_S68"	1
"107"	"Bub1"	1	"Noc2l_S102"	1
"108"	"Bub1"	1	"Noc2l_S104"	1
"109"	"Bub1"	1	"Noc2l_S123"	1
"110"	"Bub1"	1	"Noc2l_S673"	1
"111"	"Bub1"	1	"Noc2l_T680"	1
"112"	"Bub1"	1	"Noc2l_S713"	1
"113"	"Bub1"	1	"Noc2l_S69"	1
"114"	"Bub1"	1	"Noc2l_S28"	1
"115"	"Bub1"	1	"Noc2l_S30"	1
"116"	"Bub1"	1	"Noc2l_S26"	1
"117"	"Bub1"	1	"Bub3_S19"	1
"118"	"Mapk12"	1	"Ptpn3_S459"	1
"119"	"Mapk12"	1	"Eef2k_S397"	1
"120"	"Mapk12"	1	"Eef2k_S395"	1
"121"	"Mapk12"	1	"Mapk12_S3"	1
"122"	"Mapk12"	1	"Hsp90aa1_S596"	1
"123"	"Mapk12"	1	"Myod1_S203"	1
"124"	"Mapk12"	1	"Myod1_S200"	1
"125"	"Mapk12"	1	"Mapt_S232"	1
"126"	"Mapk12"	1	"Mapt_S494"	1
"127"	"Mapk12"	1	"Mapt_S144"	1
"128"	"Mapk12"	1	"Mapt_S612"	1
"129"	"Mapk12"	1	"Mapt_S202"	1
"130"	"Mapk12"	1	"Mapt_T206"	1
"131"	"Mapk12"	1	"Mapt_T125"	1
"132"	"Mapk12"	1	"Mapt_S405"	1
"133"	"Mapk12"	1	"Mapt_S398"	1
"134"	"Mapk12"	1	"Mapt_T497"	1
"135"	"Mapk12"	1	"Mapt_T473"	1
"136"	"Mapk12"	1	"Mapt_S321"	1
"137"	"Mapk12"	1	"Mapt_T523"	1
"138"	"Mapk12"	1	"Mapt_T148"	1
"139"	"Mapk12"	1	"Krt8_S80"	1
"140"	"Mapk12"	1	"Atf2_T73"	1
"141"	"Mapk12"	1	"Gja1_S282"	1
"142"	"Mapk12"	1	"Gja1_S255"	1
"143"	"Mapk12"	1	"Ets1_T38"	1
"144"	"Mapk12"	1	"Ccnd3_T283"	1
"145"	"Mapk12"	1	"Hsf1_S307"	1
"146"	"Mapk12"	1	"Hsf1_S303"	1
"147"	"Mapk12"	1	"Hsf1_S326"	1
"148"	"Mapk12"	1	"Tp53bp1_T1609"	1
"149"	"Mapk12"	1	"Ctnnb1_S605"	1
"150"	"Mapk12"	1	"Rcsd1_S108"	1
"151"	"Mapk12"	1	"Mef2a_S355"	1
"152"	"Mapk12"	1	"Snta1_S195"	1
"153"	"Mapk12"	1	"Snta1_S194"	1
"154"	"Mapk12"	1	"Snta1_S187"	1
"155"	"Mapk12"	1	"Dlg4_T287"	1
"156"	"Mapk12"	1	"Dlg4_S290"	1
"157"	"Mapk12"	1	"Nup62_T271"	1
"158"	"Mapk12"	1	"Nup62_S273"	1
"159"	"Mapk12"	1	"Mef2d_S180"	1
"160"	"Mapk12"	1	"Dlg1_S443"	1
"161"	"Mapk12"	1	"Dlg1_T209"	1
"162"	"Mapk12"	1	"Dlg1_S122"	1
"163"	"Mapk12"	1	"Dlg1_S448"	1
"164"	"Mapk12"	1	"Dlg1_S158"	1
"165"	"Mapk12"	1	"Dlg1_S432"	1
"166"	"Mapk12"	1	"Mef2c_S387"	1
"167"	"Mapk12"	1	"Kat5_T106"	1
"168"	"Mapk12"	1	"Kat5_T158"	1
"169"	"Mapk12"	1	"Ubxn1_S200"	1
"170"	"Mapk12"	1	"Htra2_S142"	1
"171"	"Mapk12"	1	"Srebf1_S63"	1
"172"	"Mapk12"	1	"Sgk1_S78"	1
"173"	"Mapk12"	1	"Sh3bp5_S424"	1
"174"	"Mapk12"	1	"Sh3bp5_S264"	1
"175"	"Mapk12"	1	"Sh3bp5_S352"	1
"176"	"Mapk12"	1	"Sh3bp5_S421"	1
"177"	"Mapk12"	1	"Sh3bp5_S354"	1
"178"	"Map2k3"	1	"Mapk12_T183"	1
"179"	"Map2k3"	1	"Mapk12_Y27"	1
"180"	"Map2k3"	1	"Mapk12_Y185"	1
"181"	"Map2k3"	1	"Map2k3_T222"	1
"182"	"Map2k3"	1	"Map2k3_S218"	1
"183"	"Map2k3"	1	"Mapk14_T180"	1
"184"	"Map2k3"	1	"Mapk14_Y182"	1
"185"	"Map2k3"	1	"Map3k3_S526"	1
"186"	"Map2k3"	1	"Mapk11_T180"	1
"187"	"Map2k3"	1	"Mapk11_Y182"	1
"188"	"Map2k3"	1	"Mapk13_T180"	1
"189"	"Map2k3"	1	"Mapk13_Y182"	1
"190"	"Epha8"	1	"Epha8_Y838"	1
"191"	"Epha8"	1	"Epha8_Y615"	1
"192"	"Map3k5"	1	"Clock_T843"	1
"193"	"Map3k5"	1	"Clock_S845"	1
"194"	"Map3k5"	1	"Map2k3_S218"	1
"195"	"Map3k5"	1	"Map3k5_T845"	1
"196"	"Map3k5"	1	"Map3k5_T849"	1
"197"	"Map3k5"	1	"Map3k5_T820"	1
"198"	"Map3k5"	1	"Map3k5_T843"	1
"199"	"Map3k5"	1	"Daxx_S185"	1
"200"	"Map3k5"	1	"Daxx_S182"	1
"201"	"Map3k5"	1	"Daxx_S190"	1
"202"	"Map3k5"	1	"Cdkn1a_S96"	1
"203"	"Map3k5"	1	"Map2k4_T259"	1
"204"	"Map3k5"	1	"Mapk14_Y182"	1
"205"	"Map3k5"	1	"Mapk14_T180"	1
"206"	"Map3k5"	1	"Tnnt2_T201"	1
"207"	"Map3k5"	1	"Tnnt2_T206"	1
"208"	"Map3k5"	1	"Tnnt2_S198"	1
"209"	"Map3k5"	1	"Tnnt2_S205"	1
"210"	"Map3k5"	1	"Tnnt2_T194"	1
"211"	"Map3k5"	1	"Siah1a_T70"	1
"212"	"Map3k5"	1	"Siah1a_T239"	1
"213"	"Map3k5"	1	"Siah1a_T74"	1
"214"	"Map3k5"	1	"Siah1a_T235"	1
"215"	"Map3k5"	1	"Map2k6_S207"	1
"216"	"Map3k5"	1	"Mapre1_T206"	1
"217"	"Map3k5"	1	"Mapre1_S40"	1
"218"	"Map3k5"	1	"Znf622_S313"	1
"219"	"Map3k5"	1	"Znf622_S316"	1
"220"	"Map3k5"	1	"Znf622_T317"	1
"221"	"Map3k5"	1	"Mapk8_Y185"	1
"222"	"Map3k5"	1	"Mapk8_T183"	1
"223"	"Map3k5"	1	"P2ry12_T345"	1
"224"	"Map3k5"	1	"Strap_T175"	1
"225"	"Map3k5"	1	"Strap_S179"	1
"226"	"Map3k5"	1	"Pdpk1_S394"	1
"227"	"Map3k5"	1	"Pdpk1_S399"	1
"228"	"Pkd2"	1	"Pi4kb_S294"	1
"229"	"Chek1"	1	"Ccdc6_S242"	1
"230"	"Chek1"	1	"Mki67_T1764"	1
"231"	"Chek1"	1	"Chek1_S296"	1
"232"	"Chek1"	1	"Chek1_T382"	1
"233"	"Chek1"	1	"Chek1_T378"	1
"234"	"Chek1"	1	"Chek1_S316"	1
"235"	"Chek1"	1	"Chek1_S291"	1
"236"	"Chek1"	1	"Mdm4_S367"	1
"237"	"Chek1"	1	"Mdm4_S343"	1
"238"	"Chek1"	1	"Mdm4_S341"	1
"239"	"Chek1"	1	"E2f6_S12"	1
"240"	"Chek1"	1	"E2f6_S52"	1
"241"	"Chek1"	1	"Tlk2_S687"	1
"242"	"Chek1"	1	"Septin7_T227"	1
"243"	"Chek1"	1	"Aurkb_S336"	1
"244"	"Chek1"	1	"Wiz_S273"	1
"245"	"Chek1"	1	"Baz1a_S1320"	1
"246"	"Chek1"	1	"Hnrnpa2b1_T159"	1
"247"	"Chek1"	1	"Blm_S539"	1
"248"	"Chek1"	1	"Blm_S654"	1
"249"	"Chek1"	1	"Blm_S504"	1
"250"	"Chek1"	1	"Tp53_S364"	1
"251"	"Chek1"	1	"Tp53_S37"	1
"252"	"Chek1"	1	"Mapt_S597"	1
"253"	"Chek1"	1	"Cdk1_S208"	1
"254"	"Chek1"	1	"Rb1_S605"	1
"255"	"Chek1"	1	"Mcm3_S160"	1
"256"	"Chek1"	1	"Nfkb1_S335"	1
"257"	"Chek1"	1	"Nfkb1_S240"	1
"258"	"Chek1"	1	"Nfkb1_S246"	1
"259"	"Chek1"	1	"Nfkb1_S331"	1
"260"	"Chek1"	1	"Nfkb1_S326"	1
"261"	"Chek1"	1	"Cdc25b_S229"	1
"262"	"Chek1"	1	"Cdc25b_S228"	1
"263"	"Chek1"	1	"Cdc25b_S565"	1
"264"	"Chek1"	1	"Map2k1_T55"	1
"265"	"Chek1"	1	"Cdkn1a_T140"	1
"266"	"Chek1"	1	"Cdkn1a_S141"	1
"267"	"Chek1"	1	"Rpl13_T170"	1
"268"	"Chek1"	1	"Syk_S289"	1
"269"	"Chek1"	1	"Lmna_S307"	1
"270"	"Chek1"	1	"Cdc25a_T497"	1
"271"	"Chek1"	1	"Cdc25a_S125"	1
"272"	"Chek1"	1	"Cdc25a_S253"	1
"273"	"Chek1"	1	"Cdc25a_S172"	1
"274"	"Chek1"	1	"Cdc25a_S284"	1
"275"	"Chek1"	1	"Cdc25a_S76"	1
"276"	"Chek1"	1	"Cdc25a_S123"	1
"277"	"Chek1"	1	"Cdc25a_S75"	1
"278"	"Chek1"	1	"Cdc25a_S179"	1
"279"	"Chek1"	1	"Cdc25a_S271"	1
"280"	"Chek1"	1	"Mcm5_T633"	1
"281"	"Chek1"	1	"Cdkn1c_S19"	1
"282"	"Chek1"	1	"Kpna2_S54"	1
"283"	"Chek1"	1	"Idi1_S55"	1
"284"	"Chek1"	1	"Csnk2b_T213"	1
"285"	"Chek1"	1	"H3c11_T12"	1
"286"	"Chek1"	1	"Tp53bp1_S1683"	1
"287"	"Chek1"	1	"Rpl19_S12"	1
"288"	"Chek1"	1	"Rpl19_T56"	1
"289"	"Chek1"	1	"H3c3_T12"	1
"290"	"Chek1"	1	"H3-3b_T12"	1
"291"	"Chek1"	1	"Rela_T505"	1
"292"	"Chek1"	1	"Plk1_T210"	1
"293"	"Chek1"	1	"Plk1_S137"	1
"294"	"Chek1"	1	"Rad51_T309"	1
"295"	"Chek1"	1	"Tfdp1_S23"	1
"296"	"Chek1"	1	"E2f8_S395"	1
"297"	"Chek1"	1	"Sin3a_T436"	1
"298"	"Chek1"	1	"Cttn_S298"	1
"299"	"Chek1"	1	"Arhgef2_S172"	1
"300"	"Chek1"	1	"Kpna1_S18"	1
"301"	"Chek1"	1	"Ddx19a_S92"	1
"302"	"Chek1"	1	"Ctr9_S1082"	1
"303"	"Chek1"	1	"Trim28_S473"	1
"304"	"Chek1"	1	"Map2k2_T59"	1
"305"	"Chek1"	1	"Raly_T160"	1
"306"	"Chek1"	1	"Cdk13_S437"	1
"307"	"Chek1"	1	"Rbm26_T813"	1
"308"	"Chek1"	1	"Rbm26_T839"	1
"309"	"Chek1"	1	"Rrp12_S1050"	1
"310"	"Chek1"	1	"Rif1_S2205"	1
"311"	"Chek1"	1	"E2f7_S411"	1
"312"	"Chek1"	1	"Prrc2b_S166"	1
"313"	"Chek1"	1	"Fancd2_S329"	1
"314"	"Chek1"	1	"Clspn_T893"	1
"315"	"Chek1"	1	"Zc3hc1_T84"	1
"316"	"Chek1"	1	"Prr5_S241"	1
"317"	"Chek1"	1	"Poldip3_S63"	1
"318"	"Chek1"	1	"Ticrr_S1046"	1
"319"	"Chek1"	1	"Ticrr_S866"	1
"320"	"Chek1"	1	"Srrm2_T2254"	1
"321"	"Chek1"	1	"Srrm2_S1500"	1
"322"	"Chek1"	1	"Srrm2_S2390"	1
"323"	"Chek1"	1	"Srrm2_S1497"	1
"324"	"Chek1"	1	"Ppme1_S15"	1
"325"	"Chek1"	1	"Nek11_S274"	1
"326"	"Chek1"	1	"Tlk1_S743"	1
"327"	"Chek1"	1	"Tlk1_S679"	1
"328"	"Chek1"	1	"Rbm14_S627"	1
"329"	"Chek1"	1	"Rbm14_S618"	1
"330"	"Chek1"	1	"Rbm14_T629"	1
"331"	"Chek1"	1	"Proser2_S43"	1
"332"	"Chek1"	1	"Ogt_S20"	1
"333"	"Chek1"	1	"Osbpl11_S189"	1
"334"	"Chek1"	1	"Gtf3c1_S667"	1
"335"	"Chek1"	1	"Matr3_S4"	1
"336"	"Chek1"	1	"Matr3_T150"	1
"337"	"Chek1"	1	"Matr3_S195"	1
"338"	"Chek1"	1	"Bud13_S18"	1
"339"	"Chek1"	1	"Eml3_S177"	1
"340"	"Chek1"	1	"Hdlbp_T8"	1
"341"	"Chek1"	1	"Golga4_S72"	1
"342"	"Chek1"	1	"Golga4_S93"	1
"343"	"Chek1"	1	"Fyttd1_T207"	1
"344"	"Chek1"	1	"Senp2_S345"	1
"345"	"Chek1"	1	"Sncb_Y126"	1
"346"	"Chek1"	1	"Sncb_Y129"	1
"347"	"Chek1"	1	"Prpf3_S161"	1
"348"	"Chek1"	1	"Plrg1_S119"	1
"349"	"Chek1"	1	"Med1_T704"	1
"350"	"Chek1"	1	"Errfi1_S251"	1
"351"	"Chek1"	1	"Rassf1_T38"	1
"352"	"Chek1"	1	"Rassf1_S184"	1
"353"	"Chek1"	1	"Rassf1_S190"	1
"354"	"Chek1"	1	"Tnk1_S504"	1
"355"	"Chek1"	1	"Asf1a_S166"	1
"356"	"Chek1"	1	"Pop4_S10"	1
"357"	"Chek1"	1	"Chtop_T213"	1
"358"	"Chek1"	1	"Ssbp1_S67"	1
"359"	"Chek1"	1	"Ebna1bp2_T182"	1
"360"	"Chek1"	1	"Csnk1d_S328"	1
"361"	"Chek1"	1	"Csnk1d_S370"	1
"362"	"Chek1"	1	"Csnk1d_S331"	1
"363"	"Chek1"	1	"Csnk1d_T397"	1
"364"	"Chek1"	1	"Stk4_T340"	1
"365"	"Chek1"	1	"Tp73_S48"	1
"366"	"Chek1"	1	"Tp73_S44"	1
"367"	"Chek1"	1	"Ybx3_T113"	1
"368"	"Chek1"	1	"Mink1_T280"	1
"369"	"Chek1"	1	"Kifc1_S26"	1
"370"	"Chek1"	1	"Drg2_S72"	1
"371"	"Chek1"	1	"Ing1_S271"	1
"372"	"Chek1"	1	"Ing1_S126"	1
"373"	"Chek1"	1	"Add3_S693"	1
"374"	"Chek1"	1	"Racgap1_S204"	1
"375"	"Chek1"	1	"Mad2l1_S185"	1
"376"	"Chek1"	1	"Mad2l1_T187"	1
"377"	"Chek1"	1	"Chek2_T68"	1
"378"	"Chek1"	1	"Ybx2_T117"	1
"379"	"Clk2"	1	"Clk2_S141"	1
"380"	"Clk2"	1	"Prkaca_T198"	1
"381"	"Clk2"	1	"Sub1_S11"	1
"382"	"Clk2"	1	"Zfp36_S188"	1
"383"	"Clk2"	1	"Ptpn1_S242"	1
"384"	"Clk2"	1	"Ptpn1_S50"	1
"385"	"Clk2"	1	"Ptpn1_S243"	1
"386"	"Clk2"	1	"Ppp1r13l_S113"	1
"387"	"Clk2"	1	"Ppp1r13l_S183"	1
"388"	"Clk2"	1	"Khdrbs1_T77"	1
"389"	"Clk2"	1	"Khdrbs1_S70"	1
"390"	"Clk2"	1	"Bad_S26"	1
"391"	"Clk2"	1	"Trim28_T599"	1
"392"	"Clk2"	1	"Trim28_S612"	1
"393"	"Clk2"	1	"Trim28_S683"	1
"394"	"Clk2"	1	"Trim28_S26"	1
"395"	"Clk2"	1	"Trim28_S50"	1
"396"	"Clk2"	1	"Trim28_S471"	1
"397"	"Clk2"	1	"Trim28_S473"	1
"398"	"Clk2"	1	"Arid3a_S77"	1
"399"	"Clk2"	1	"Arid3a_S82"	1
"400"	"Clk2"	1	"Gpbp1l1_S49"	1
"401"	"Clk2"	1	"Xpo1_S1055"	1
"402"	"Clk2"	1	"Ppp2r5b_S32"	1
"403"	"Clk2"	1	"Ppp2r5b_S48"	1
"404"	"Clk2"	1	"Ppp2r5b_S46"	1
"405"	"Clk2"	1	"Ppp2r5b_S44"	1
"406"	"Clk2"	1	"Ppp2r5b_S47"	1
"407"	"Clk2"	1	"Ppp2r5b_S35"	1
"408"	"Clk2"	1	"Eif2b5_S540"	1
"409"	"Clk2"	1	"Nfatc4_S272"	1
"410"	"Clk2"	1	"Matr3_S22"	1
"411"	"Clk2"	1	"Matr3_S234"	1
"412"	"Clk2"	1	"Matr3_S598"	1
"413"	"Clk2"	1	"Matr3_S673"	1
"414"	"Clk2"	1	"Camkk1_S475"	1
"415"	"Clk2"	1	"U2af1_S61"	1
"416"	"Clk2"	1	"Zmym3_T62"	1
"417"	"Clk2"	1	"Zmym3_S220"	1
"418"	"Clk3"	1	"Srsf1_S225"	1
"419"	"Clk3"	1	"Srsf1_S231"	1
"420"	"Clk3"	1	"Srsf1_S238"	1
"421"	"Clk3"	1	"Srsf1_S199"	1
"422"	"Clk3"	1	"Srsf1_S227"	1
"423"	"Clk3"	1	"Srsf1_S201"	1
"424"	"Clk3"	1	"Srsf1_S205"	1
"425"	"Clk3"	1	"Srsf1_S242"	1
"426"	"Clk3"	1	"Srsf1_S244"	1
"427"	"Clk4"	1	"Abl1_T734"	1
"428"	"Clk4"	1	"Zyx_S144"	1
"429"	"Clk4"	1	"Zyx_S151"	1
"430"	"Clk4"	1	"Zyx_T160"	1
"431"	"Cdk14"	1	"Lrp6_S1490"	1
"432"	"Cdk14"	1	"Ccny_S73"	1
"433"	"Cdk14"	1	"Ccny_S71"	1
"434"	"Cdk14"	1	"Ccny_S83"	1
"435"	"Cdk14"	1	"Ccny_S295"	1
"436"	"Cdk14"	1	"Ccny_S288"	1
"437"	"Cdk14"	1	"Ccny_T67"	1
"438"	"Cdk14"	1	"Ppp1r2_S88"	1
"439"	"Cdk14"	1	"Tagln2_S83"	1
"440"	"Cdk14"	1	"Tagln2_S163"	1
"441"	"Axin1"	1	"Lrp6_S1490"	1
"442"	"Axin1"	1	"Psen1_S353"	1
"443"	"Axin1"	1	"Psen1_S357"	1
"444"	"Axin1"	1	"Ctnnb1_T41"	1
"445"	"Axin1"	1	"Ctnnb1_S37"	1
"446"	"Axin1"	1	"Ctnnb1_S33"	1
"447"	"Axin1"	1	"Ror2_S864"	1
"448"	"Nudc"	1	"Plk1_S326"	1
"449"	"Pik3cd"	1	"Btk_Y551"	1
"450"	"Pik3cd"	1	"Btk_Y223"	1
"451"	"Nek2"	1	"Nek2_S356"	1
"452"	"Nek2"	1	"Nek2_T170"	1
"453"	"Nek2"	1	"Nek2_S171"	1
"454"	"Nek2"	1	"Nek2_S241"	1
"455"	"Nek2"	1	"Nek2_T179"	1
"456"	"Nek2"	1	"Nek2_T175"	1
"457"	"Nek2"	1	"Nek2_S399"	1
"458"	"Nek2"	1	"Eef2_S595"	1
"459"	"Nek2"	1	"Ppp1cc_T318"	1
"460"	"Nek2"	1	"Ppp1cc_T307"	1
"461"	"Nek2"	1	"Cep250_S2364"	1
"462"	"Nek2"	1	"Cep250_S2396"	1
"463"	"Nek2"	1	"Cep250_S2065"	1
"464"	"Nek2"	1	"Cep250_S2366"	1
"465"	"Nek2"	1	"Cep250_S2393"	1
"466"	"Nek2"	1	"Dvl3_S643"	1
"467"	"Nek2"	1	"Dvl3_S697"	1
"468"	"Nek2"	1	"Dvl3_T15"	1
"469"	"Nek2"	1	"Dvl3_S280"	1
"470"	"Nek2"	1	"Npm1_S70"	1
"471"	"Nek2"	1	"Npm1_S88"	1
"472"	"Nek2"	1	"Zyx_T160"	1
"473"	"Nek2"	1	"Srsf1_T29"	1
"474"	"Nek2"	1	"Cntrob_S45"	1
"475"	"Nek2"	1	"Cntrob_S36"	1
"476"	"Nek2"	1	"Cntrob_T35"	1
"477"	"Nek2"	1	"Cntrob_S41"	1
"478"	"Nek2"	1	"Map2k7_S271"	1
"479"	"Nek2"	1	"Lrrc45_S661"	1
"480"	"Nek2"	1	"Gas2l1_S352"	1
"481"	"Nek2"	1	"Sgo1_T14"	1
"482"	"Nek2"	1	"Sgo1_S497"	1
"483"	"Nek2"	1	"Serbp1_S322"	1
"484"	"Nek2"	1	"Ndc80_S165"	1
"485"	"Nek2"	1	"Ndc80_T34"	1
"486"	"Nek2"	1	"Eif4enif1_S758"	1
"487"	"Nek2"	1	"Fanca_T352"	1
"488"	"Nek2"	1	"Rps6ka2_S106"	1
"489"	"Srpk2"	1	"Srpk2_T485"	1
"490"	"Srpk2"	1	"Prkaca_S140"	1
"491"	"Srpk2"	1	"Prkaca_T196"	1
"492"	"Srpk2"	1	"Mapt_S214"	1
"493"	"Srpk2"	1	"Mdm2_S160"	1
"494"	"Srpk2"	1	"Mdm2_S189"	1
"495"	"Srpk2"	1	"Prkcd_T43"	1
"496"	"Srpk2"	1	"Prkcd_S307"	1
"497"	"Srpk2"	1	"Srsf2_T29"	1
"498"	"Srpk2"	1	"Srsf1_S201"	1
"499"	"Srpk2"	1	"Srsf1_S205"	1
"500"	"Srpk2"	1	"Srsf1_S225"	1
"501"	"Srpk2"	1	"Srsf1_S227"	1
"502"	"Srpk2"	1	"Srsf1_S231"	1
"503"	"Srpk2"	1	"Srsf1_S244"	1
"504"	"Srpk2"	1	"Srsf1_S234"	1
"505"	"Srpk2"	1	"Asap2_S822"	1
"506"	"Srpk2"	1	"Eif4b_T75"	1
"507"	"Srpk2"	1	"Eif4b_T195"	1
"508"	"Srpk2"	1	"Eif4b_S283"	1
"509"	"Srpk2"	1	"Eif4b_S311"	1
"510"	"Srpk2"	1	"Eif4b_S445"	1
"511"	"Srpk2"	1	"Eif4b_S418"	1
"512"	"Srpk2"	1	"Eif4b_T420"	1
"513"	"Srpk2"	1	"Eif4b_S422"	1
"514"	"Srpk2"	1	"Eif4b_S424"	1
"515"	"Srpk2"	1	"Eif4b_S406"	1
"516"	"Srpk2"	1	"Nfatc4_S213"	1
"517"	"Srpk2"	1	"Nfatc4_S289"	1
"518"	"Srpk2"	1	"Nfatc4_S676"	1
"519"	"Srpk2"	1	"Camkk1_S458"	1
"520"	"Srpk2"	1	"Acin1_S1179"	1
"521"	"Srpk2"	1	"Zranb2_S213"	1
"522"	"Srpk2"	1	"Zranb2_S279"	1
"523"	"Srpk2"	1	"Zranb2_S280"	1
"524"	"Srpk2"	1	"Zranb2_S290"	1
"525"	"Srpk2"	1	"Zranb2_S294"	1
"526"	"Srpk2"	1	"Zranb2_S217"	1
